Name,CPU%
socialnetwork_nginx-thrift_1:,0.38%
socialnetwork_post-storage-service_1:,0.00%
socialnetwork_social-graph-service_1:,0.00%
socialnetwork_user-mention-service_1:,0.00%
socialnetwork_unique-id-service_1:,0.00%
socialnetwork_compose-post-service_1:,0.00%
socialnetwork_url-shorten-service_1:,0.00%
socialnetwork_media-frontend_1:,0.00%
socialnetwork_text-service_1:,0.00%
socialnetwork_user-service_1:,0.00%
socialnetwork_media-service_1:,0.00%
socialnetwork_home-timeline-service_1:,0.00%
socialnetwork_user-timeline-service_1:,0.00%
socialnetwork_social-graph-redis_1:,0.15%
socialnetwork_jaeger-agent_1:,0.06%
socialnetwork_home-timeline-redis_1:,0.16%
socialnetwork_post-storage-memcached_1:,0.03%
socialnetwork_user-mongodb_1:,0.37%
socialnetwork_url-shorten-memcached_1:,0.02%
socialnetwork_user-timeline-mongodb_1:,0.40%
socialnetwork_media-mongodb_1:,0.38%
socialnetwork_post-storage-mongodb_1:,0.40%
socialnetwork_media-memcached_1:,0.02%
socialnetwork_url-shorten-mongodb_1:,0.39%
socialnetwork_social-graph-mongodb_1:,0.41%
socialnetwork_user-memcached_1:,0.01%
socialnetwork_user-timeline-redis_1:,0.14%
